Nom,Tags,Auteur.ice.s,Date,Genre,Pays
Les monologues du vagin,"corps, rapport au corps, vagin",Eve Ensler,1996,Théâtre,Etats-Unis
La lesbienne invisible,"LGBT, LGBTQIA+, homosexualité, lesbienne, stéréotypes de genre",Océan,2009,Théâtre,France
Nanette,"LGBT, LGBTQIA+, homosexualité, lesbianisme",Hannah Gadsby,2018,Théâtre,Australie
Consentement,"emprise, pédocriminalité, relation abusive, violences sexuelles",Ludivine Sagnier,2022,Théâtre,France
Femmes cibles / Necessary targets: A Story of Women and War,"Bosnie, corps, guerre, violences, violences sexuelles",Eve Ensler,2001,Théâtre,Etats-Unis
Le Monde renversé,"corps, domination masculine, patriarcat, réappropriation du corps, sorcières","Aurélia Lüscher, Clara Bonnet, Itto Mehdaoui, Marie-Ange Gagnaux",2018,Théâtre,France
Les Idoles,"LGBT, LGBTQIA+, VIH, sida, séropositif.ve.s",Christophe Honoré,2018,Théâtre,France
"La théorie du Y ","LGBT, LGBTQIA+, bisexualité, pansexualité",Caroline Taillet,2015,Théâtre,Belgique
"Ton père ","LGBT, LGBTQIA+, homoparentalité, homosexualité",Christophe Honoré,2020,Théâtre,France
The Good Body,"corps, diktats de la beauté, injonction à la beauté, injonctions, rapport au corps",Eve Ensler,2001,Théâtre,Etats-Unis
Fille de,"discrimination, exil, stéréotypes de genre",Leïla Anis,2012,Théâtre,"France, Yémen"
Monstrueuses,"grossesse, histoire des femmes, infanticide, instinct maternel, émancipation",Leïla Anis,2017,Théâtre,"France, Yémen"
Afropéenne,"afropéenne, identité, intersectionnalité, racisme, violences",Eva Doumbia,2012,Théâtre,France
Fleabag,"empowerment, female gaze, sexualité.s",Phoebe Waller Bridge,2013 / 2019,Théâtre,Royaume-Uni
Menopause The Musical,"fertilité, ménopause, rapport au corps, vieillesse, vieillir",Jeanie Linders,2001,Théâtre,Etats-Unis
Guerrières ordinaires,"LGBT, corps, injonction à la beauté, injonctions, lesbianisme, rapport au corps",Magali Mougel,2013,Théâtre,France
M.I.L.F.,"maternité, mère, parentalité, porno, pornographie, sexualité.s",Marjolaine Beauchamp,2017,Théâtre,Canada
Consent,"consentement, justice, loi, viol",Nina Raine,2017,Théâtre,Royaume-Uni
Ombre (Eurydice parle),"couple hétérosexuel, domination masculine, injonctions, invisibilisation, patriarcat, travail domestique, émancipation",Elfriede Jelinek,2018,Théâtre,Allemagne
Maladie ou Femmes modernes,"LGBT, LGBTQIA+, invisibilisation, patriarcat, émancipation",Elfriede Jelinek,2001,Théâtre,Allemagne
Drames de princesses - La jeune fille et la mort,"domination masculine, injonctions, patriarcat, émancipation",Elfriede Jelinek,2006,Théâtre,Allemagne
Ce qui arriva après le départ de Nora / Après Nora,"couple hétérosexuel, domination masculine, injonctions, patriarcat, émancipation",Elfriede Jelinek,2020,Théâtre,Allemagne
Ce qui arriva quand Nora quitta son mari,"couple hétérosexuel, domination masculine, injonctions, patriarcat, émancipation",Elfriede Jelinek,1993,Théâtre,Allemagne
Shakesqueer : la querelle,"LGBT, LGBTQIA+, homophobie, homosexualité, pouvoir, racisme, sexisme, violences","Alice Gourreau, Louise Dejour-Chobodicka, Sarah Gourreau",2020,Théâtre,France
Jocaste,"injonctions, patriarcat, émancipation",Michèle Fabien,1981,Théâtre,Belgique
Cassandre,"domination masculine, femme politique, folie, patriarcat",Michèle Fabien,1987 - 1995,Théâtre,Belgique
Domestiquées,"couple hétérosexuel, diktats de la beauté, injonctions, patriarcat, travail domestique, travail gratuit",Sarah Pèpe,2022,Théâtre,France
"Femmes de pouvoir, pouvoir de femmes","amour, corps, injonctions, rapport hétérosexuel, sexe, sexualité.s",Océan,2019,Théâtre,France
Chatons violents,"privilèges, racisme, rapport à l'autre, violences",Océan,2015,Théâtre,France
Chattologie - Courte conférence sur la gestion des flux,"corps, cycle menstruel, menstruation, règles, sang menstruel",Louise Mey,2022,Théâtre,France
