Titre du documentaire,Tags,Réalisateur.ice,Date,Liens,Pays
"Femen, naked war","Femen, activisme, corps, lutte pour les droits des femmes",Joseph Paris,2014,https://www.capuseen.com/uploads/0007/3376/nakedwar_ba.mp4,France
"Toutes musclées ","contrôle des corps, corps, male gaze, muscle, sexisme, sport, stéréotypes","Camille Juza, Matthias Vaysse",2022,https://www.arte.tv/fr/videos/RC-022998/toutes-musclees/,France
L’amour flou,"cohabitation, couple, injonctions, parentalité","Romane Bohringer, Philippe Rebbot",2018,,France
Chercher la femme,"Histoire, décolonisation, invisibilisation des femmes, préhistoire","Julie Gavras, Mathieu Decarli",2022,,France
The female closet,"LGBT, artistes femmes, invisibilisation des femmes, lesbianisme, lesbienne, visibilité LGBT",Barbara Hammer,1998,https://barbarahammer.com/films/the-female-closet/,Etats-Unis
Post-partum - Le documentaire,"accouchement, maternité, postpartum",Eve Simonet,2022,https://mon-post-partum.com/,France
No gravity,"astronautes, astronomie, discriminations, plafond de verre, sciences",Silvia Casalino,2011,,"Allemagne, France"
Visible: Out on Television,"LGBT, LGBTQIA+, coming out, médias, outing, sida, télévision, visibilité LGBT",Ryan White,2020,https://tv.apple.com/fr/show/visible-out-on-television/umc.cmc.1zkna505r4jre6fh7mjcncio0,Etats-Unis
La Mif,"adolescence, enfance, foyer, violences, violences sexuelles",Frédéric Baillif,2022,https://www.allocine.fr/video/player_gen_cmedia=19595684&cfilm=290397.html,Suisse
Entre leurs mains,"accouchement, accouchement naturel, corps, grossesse, violences gynécologiques, violences obstétricales",Céline Darmayan,2012,http://www.entreleursmains.org/,France
"Sports et homosexualités, c’est quoi le problème ?","LGBT, LGBTQIA+, homosexualité, sport",Michel Royer,2009,https://youtu.be/MfMnqGFxKlc,France
Accouche !,"accouchement, corps, grossesse, maternité, violences gynécologiques, violences obstétricales",Ioana Wieder,1977,,France
Libres !,"cycle, diktat de la beauté, grossophobie, injonctions, règles, sexualité féminine, tabou","Ovidie, Sophie-Marie Larrouy - ARTE",2021,https://www.arte.tv/fr/videos/094356-001-A/libres/,France
Ronde et sexy,"grossophobie, sexualité féminine, sexualité.s",Ovidie,2011,,France
