Name,Tags,Réalisateur.ice.s,Date,Pays
"Baise moi","agressions sexuelles,prostitution,vengeance,viol",Virginie Despentes et Coralie Trinh Thi,2000,France
Annie Colère,"IVG,MLAC,avortement,avortement clandestin,droit à l'avortement,lutte pour les droits des femmes",Blandine Lenoir,2022,France
The lost daughter,"désir d'enfant,maternité,parentalité",Maggie Gyllenhaal,2021,"Etats-Unis,Grèce"
Loving,"amour.s,racisme,racisme structurel",Jeff Nichols,2016,Etats-Unis
"La Belle Saison","LGBT,LGBTQIA+,MLF,amours lesbiens,lesbianisme",Catherine Corsini,2015,France
"Simone,Le voyage du siècle","IVG,Simone Veil,droit à l'avortement,lutte pour les droits des femmes",Olivier Dahan,2022,France
Dirty weekend,"harcèlement sexuel,violence des femmes,violences,violences sexuelles",Michael Winner,1993,Royaume-Uni
The Woman King,"Afrique,Dahomey,femmes guerrières",Gina Prince-Bythewood ,2022,Etats-Unis
L’évènement,"avortement,avortement clandestin,droit à l'avortement,grossesse",Audrey Diwan,2021,France
Fragile,"amitié.s,amour.s,couple hétérosexuel,masculinité.s",Emma Benestan,2021,France
Entre les vagues,"amitié.s,sororité",Anaïs Volpé,2022,France
Pieces of a Woman,"accouchement,accouchement à domicile,couple,deuil,deuil périnatal,maternité,parentalité,sage-femme",Kornél Mundruczó (écrit par Kata Wéber),2020,"Canada,Etats-Unis"
Les enfants des autres,"couple,désir d'enfant,famille.s,maternité,parentalité",Rebecca Zlotowski,2022,France
Hair Love,"afroféminisme,cheveux",Matthew A.Cherry,2019,Etats-Unis
Les chatouilles ou la danse de la colère,"inceste,viol,violences sexuelles",Andrea Bescond,2018,France
Promising young woman,"culture du viol,harcèlement sexuel,viol,violences sexuelles",Emerald Fennell,2020,"Etats-Unis,Royaume-Uni"
Audre Lorde – The Berlin Years 1984 to 1992,Audre Lorde,"Dagmar Schultz,New York: Third World Newsreel",2012,Allemagne
Colette,"LGBT,biographie,bisexualité",Wash Westmoreland,2018,"Etats-Unis,Hongrie,Royaume-Uni"
Les choses humaines,"consentement,culture du viol,viol",Yvan Attal,2021,France
A Litany for Survival: the Life and Work of Audre Lorde,Audre Lorde,"Michelle Parkerson,New York: Third World Newsreel",1995,Etats-Unis
The Edge of Each Other’s Battles: The Vision of Audre Lorde,Audre Lorde,"Jennifer Abod,Women Make Movies",2003,Etats-Unis
Vivante,"anti-racisme,anti-validisme,handicap,intersectionnalité,pornoféminisme,pornographie",Anoushka avec Bertoulle Beaurebec,2020,France
Fleur du désert / Desert Flower,"excision,mannequinat,mariage arrangé,mariage d'enfant,mutilations génitales,mutilations sexuelles",Sherry Hormann,2009,"Allemagne,Autriche,France,Royaume-Uni"
Portrait d'une jeune fille en feu,"LGBT,LGBTQIA+,amours lesbiens,avortement,lesbianisme,queer",Céline Sciamma,2019,France
La naissance des pieuvres,"LGBT,LGBTQIA+,hétéronormativité",Céline Sciamma,"2007",France
"Tomboy",transidentité,"Céline Sciamma",2011,France
Le procès de Bobigny - Désobéir pour le droit d'avortement,"avortement,droit à l'avortement,lutte pour les droits des femmes",François Luciani,2006,France
"Les suffragettes","droit de vote,lutte pour les droits des femmes,militantisme",Sarah Gavron,2015,Royaume-Uni
Papicha,,Mounia Meddour,2019,Algérie
Olivia,"LGBT,LGBTQIA+",Jacqueline Audry,1951,France
Moxie !,,Amy Poehler,2021,Etats-Unis
Dear White People,"LGBT,anti-racisme,intersectionnalité,militantisme,racisme,sexisme",Justin Simien,2004,Etats-Unis
Battle of the sexes,"LGBT,homophobie,sexisme,sexisme ordinaire,sports",Jonhatan Dayton,2017,Etats-Unis
Les figures de l’ombre / Hidden figures,"intersectionnalité,racisme",Theodore Melfi,2016,Etats-Unis
Thelma et Louise,"culture du viol,sororité,viol,violences","David Fincher",1991,Etats-Unis
Never rarely sometimes always,"IVG,avortement,droit à l'avortement,grossesse",Eliza Hittman,2020,Etats-Unis
"easyA","mythe de la virginité,sexualité adolescente,slut-shaming,virginité","Will Gluck",2010,Etats-Unis
La couleur des sentiments,"anti-racisme,intersectionnalité,racisme,sororité","Tate Taylor",2011,Etats-Unis
Wonder Woman,,Patty Jenkins,2017,Etats-Unis
Frida,"artiste,handicap,intersectionnalité,sexualité",Julie Taymor,2002,Etats-Unis
La couleur pourpre,"inceste,racisme,sexisme,viol,violences,violences conjugales",Steven Spielberg,1985,Etats-Unis
Les filles du docteur March / Little women,,Greta Gerwig,2019,Etats-Unis
"Belle",racisme,Amma Asante,2013,Royaume-Uni
