Titre du livre,Thèmes,Auteur.ice,Année,Discipline,Pays
Déclaration des droits de la femme et de la citoyenne,"droit de vote,droits de l'humain,droits des femmes,lutte pour les droits des femmes",Olympe de Gouges,1791,Manifeste,France
"En découdre,comment les ouvrières ont révolutionné le travail et la société","lutte pour les droits des femmes,luttes ouvrières,luttes révolutionnaires",Fanny Gallot,2015,Histoire,France
Violence conjugale. Du combat féministe à la cause publique,"espace public,violences,violences conjugales",Pauline Delage,2017,Sociologie,France
"Droits des femmes,tout peut disparaître","droits des femmes,lutte pour les droits des femmes",Pauline Delage,2018,Sociologie,France
Parité ! : L'universel et la différence des sexes,"normes sociales,parité,politique,universalisme",Joan W. Scott,2005,Histoire,Etats-Unis
La Citoyenne paradoxale : Les féministes françaises et les droits de l'Homme,"normes sociales,parité,politique",Joan W. Scott,1998,Histoire,Etats-Unis
Pétromasculinité - Du mythe fossile patriarcal aux systèmes énergétiques féministes,"intersectionnalité,écologie,écologie politique,énergies",Clara New Daggett,2023,"Ecologie,Sciences politiques",Etats-Unis
"Les femmes musulmanes ne sont-elles pas des femmes ?","femmes musulmanes,féminismes islamiques,islam,islamophobie",Hanane Karimi,2023,Sociologie,France
"Les hommes hétéros le sont-ils vraiment ?","homophobie,homosexualité,homosociabilité",Léane Alestra,2023,"Essai,Gender studies",France
Et tes parents ils font quoi ? Enquête sur les transfuges de classe et leurs parents,"classe sociale,transfuge de classe",Adrien Naselli,2021,"Enquête,Sciences sociales",France
Manifeste anarcha-féministe,"anarchisme,féminisme anarchiste,féminisme libertaire",Chiara Bottici,2023,Manifeste,Italie
"Nos absentes - A l’origine des féminicides","continuum féminicidaire,féminicides,violences",Laurène Daycard,2023,"Enquête,Sciences sociales",France
"Sex and the Revitalized City: Gender,Condominium Development,and Urban Citizenship","appropriation de l'espace public,espace public,ville",Leslie Kern,2010,Géographie,Canada
"Rennes au féminisme","Bretagne,Rennes,histoire des femmes,histoire des féminismes","Françoise Bagnaud,Françoise Tyran,Ghislaine Mesnage,Patricia Godard",2022,Histoire,France
Tu seras une mère féministe ! Manuel d’émancipation pour des maternités décomplexées et libérées,"charge mentale,corps,désir d'enfant,famille.s,maternité.s,mère.s,postpartum,éducation,éducation non genrée",Aurélia Blanc,2022,Guide,France
"When Women Lead","business woman,empouvoirement,empowerment,féminisme libéral,leadership",Julia Boorstin,2022,Enquête,Etats-Unis
"Sur l’intersectionnalité",intersectionnalité,Elsa Dorlin,2023,"Philosophie,Sciences sociales",France
Les antiféminismes - Analyse d'un discours réactionnaire,"antiféminisme,conservatisme,discours réactionnaire,masculinisme,masculinité toxique,misogynie,mouvement masculiniste,néo-conservateur","Diane Lamoureux,Francis Dupuis-Déri",2015,"Feminist studies,Sciences sociales,Sociologie","Canada,France,Québec"
Le mouvement masculiniste au Québec - L'antiféminisme démasqué,"antiféminisme,crise de la masculinité,masculinisme,masculinité toxique,masculinité.s,mouvement masculiniste","Francis Dupuis-Déri,Mélissa Blais",2008 - 2015,"Feminist studies,Sciences sociales,Sociologie","Canada,France,Québec"
