Titre du livre,Tags,Auteur.ice.s,Année,Pays,Genre littéraire
"Brûler brûler brûler","LGBT,LGBTQIA+,activisme,collages,luttes féministes,militantisme,racisme",Lisette Lombé,2020,Belgique,Poésie
Poèmes de Sappho,"amour.s,lesbianisme,lesbienne,sexualité.s",Sappho de Mytilène,2004,Grèce,Poésie
Du Vert au violet,"injonctions,lesbianisme,lesbienne,sexualité.s,émancipation des femmes",Renée Vivien,1903,Royaume-Uni,Poésie
Cendres et Poussières,"lesbienne,mort,sexualité féminine,sexualité.s",Renée Vivien,1902,Royaume-Uni,Poésie
Djinns,"LGBT,LGBTQIA+,domination masculine,femmes noires,gender fluid",Seynabou Sonko,2023,France,Roman
Le Complexe de la sorcière,"sorcières",Isabelle Sorente,2020,France,Roman autobiographique
"La femme et l’oiseau","animaux,famille,non-humains,transmission familiale,éco féminisme,écologie",Isabelle Sorente,2021,France,Roman
Cher connard,"LGBT,activisme lesbien,amitié.s,corps,domination masculine,lesbianisme,lesbienne,réseaux sociaux,visibilité LGBT",Virginies Despentes,2022,France,Roman
"Laisse tomber la nuit","LGBT,LGBTQIA+,amour.s,drag show,queer,visibilité LGBT",Agnès Mascarou,2022,France,Roman
Le corps est une chimère,"corps,couple,parentalité,sexualité.s,stéréotypes",Wendy Delorme,2018,France,Roman
Insurrection ! En territoires sexuels,"corps,injonctions,sexualité.s",Wendy Delorme,2009,France,Roman
"La Mère,la Sainte et la Putain","accouchement,corps,maternité,parentalité",Wendy Delorme,2012,France,Roman
Viendra le temps du feu,"LGBT,crise écologique,lutte des femmes,queer,résistance,sororité,éco féminisme",Wendy Delorme,2021,France,Dystopie
Le régime parfait - Pour un nouveau régime alimentaire,"corps,faim,régime,troubles alimentaires,violences",Estelle Benazet Heugenhauser,2022,"Autriche,France",Roman
Nous sommes les oiseaux de la tempête qui s'annonce,"amitié.s,liberté,sororité,violences",Lola Lafon,2014,France,Roman
Une fièvre impossible à négocier,"anticapitalisme,luttes féministes,viol,violences sexuelles",Lola Lafon,2003,France,Roman
Moi qui n'ai pas connu les hommes,"communauté,dystopie,sororité",Jacqueline Harpman,1997,Belgique,Roman
Le Monde est à toi - Lettre de mère en fille,"figure de la mère,maternité,mère,éducation",Martine Delvaux,2022,"Canada,Québec",Roman
Rêves de femmes - Une enfance au harem,"Maroc,harem",Fatema Mernissi,1998,Maroc,Roman
La deuxième femme,"emprise,féminicides,harcèlement,injonction à la beauté,injonctions,relation toxique,violences,violences conjugales",Louise Mey,2020,France,Roman
Pas d’enfant pour Athéna,"childfree,maternité,non désir d'enfant,parentalité",Edith Vallée,2014,France,Roman
"Tea Rooms - Femmes ouvrières","anarchisme,avortement,classisme,condition de la femme,domination sociale,exploitation,lutte des classes,lutte ouvrière,syndicalisme",Luisa Carnés,1934,Espagne,Roman
Écrits pour la parole,"afro-féminisme,anti racisme,identité,racisme",Léonora Miano,2012,"Cameroun,France",Roman
Blues pour Élise,"amour.s,identité,racisme",Léonora Miano,2010,"Cameroun,France",Roman
Les Graciées,"sorcellerie,sorcières,sororité",Kiran Millwood Hargrave,2021,Royaume-Uni,Roman
La nuit des béguines,"domination masculine,injonctions,patriarcat,sororité",Aline Kiner,2017,France,Roman
Betty,"inceste,racisme,sexisme ordinaire,viol,violences",Tiffany McDaniel,2020,Etats-Unis,Roman
La Perle et la coquille,"Afghanistan,droits des femmes,lutte pour les droits,émancipation des femmes",Nadia Hashimi,2015,Afghanistan,Roman
Cartographie de l’amour décolonial,"amour.s,décolonisation,féminisme décolonial",Leanne Betasamosake Simpson,2017,Canada,Roman
Nos elles déployées,"LGBT,amour.s,lutte des femmes,lutte pour les droits,sexualité.s,égalité",Jessie Magana,2021,France,Roman
