Nom de la série,Tags,Artiste,Pays,Année
Girls,"consentement,corps,culture du viol,désir,female gaze,genre,sexualité.s",Lena Dunham,Etats-Unis,2012
Glee,"LGBT,LGBTQIA+,anti-racisme,anti-validisme,grossophobie,intersectionnalité,queer,sexualité adolescente,transidentité","Ian Brennan,Brad Falchuk,Ryan Murphy",Etats-Unis,2009
"Sex Education","LGBT,LGBTQIA+,sexualité adolescente,sexualité.s",Laurie Nunn,Royaume-Uni,2019
Dietland,"activisme,féminisme extrémiste,grossophobie,violence des femmes",Marti Noxon,Etats-Unis,2018
Locked Up - Derrière les barreaux,"LGBT,LGBTQIA+,prison,prison pour femmes","Daniel Écija,Esther Martínez Lobato,Álex Pina,Iván Escobar",Espagne,2015
Honour (Heder),"droits des femmes,féminicide,violences,violences envers les femmes,violences sexuelles","Alexandra Rapaport,Anja Lundqvist,Julia Dufvenius,Eva Röse",Suède,2019
Des gens bien ordinaires,"activisme,anarchisme,militantisme,pornographie,relation d'emprise,relation toxique",Ovidie,France,2022
Mrs America,"droits des femmes,luttes féministes",Dahvi Waller,Etats-Unis,2020
La Servante écarlate (The Handmaid's Tale),"droits reproductifs,dystopie,reproduction",Bruce Miller,Etats-Unis,2017
The Marvelous Mrs. Maisel,empowerment,Amy Sherman-Palladino,Etats-Unis,2017
Crazy Ex-Girlfriend,"genre,injonctions,stéréotypes","Rachel Bloom,Aline Brosh McKenna,Marc Webb",Etats-Unis,2015
Maid,"famille monoparentale,santé mentale,violences,violences conjugales,violences envers les femmes",John Wells,Etats-Unis,2021
Little fires everywhere,"LGBT,avortement,homosexualité,maternité,parentalité,racisme,racisme ordinaire",Lynn Shelton,Etats-Unis,2020
"La théorie du Y","LGBT,LGBTQIA+,bisexualité,pansexualité","Caroline Taillet,Martin Landmeters",Belgique,2016
Unbelievable,"viol,violences sexuelles","Susannah Grant,Michael Chabon,Ayelet Waldman",Etats-Unis,2019
Girlboss,empowerment,Kay Cannon,Etats-Unis,2017
Ginny & Goergia,"LGBT,LGBTQIA+,racisme,viol,violences sexuelles",Sarah Lampert,Etats-Unis,2021
Shrill,grossophobie,Alexandra Rushfield,Etats-Unis,2019
Good Girls,"LGBT,LGBTQIA+,sororité",Jenna Barns,Etats-Unis,2018
Good Girls Revolt,"droits des femmes,patriarcat",Dana Calvo,Etats-Unis,2015
The L Word,"LGBT,LGBTQIA+,bisexualité,homosexualité,sexualité.s,transidentité",Ilene Chalken,Etats-Unis,2004
The L Word: Generation Q,"LGBT,LGBTQIA+,bisexualité,homosexualité,sexualité.s,transidentité","Ilene Chaiken,Kathy Greenberg,Michele Abbott",Etats-Unis,2019
Dear White People,"LGBT,anti-racisme,intersectionnalité,racisme,sexisme",Justin Simien,Etats-Unis,2017
Orange is the new black,"Black Lives Matter,LGBT,LGBTQIA+,body positivisme,consentement,non-mixité,système carcéral",Jenji Kohan,Etats-Unis,2013
Weeds,"entreprenariat féminin,stéréotypes,traffic de drogue",Jenji Kohan,Etats-Unis,2005 - 2012
M’entends-tu ?,"grossesse,prison,sororité,violences conjugales,violences sexuelles",Florence Longpré,Canada,2018 - 2021
Anne with an E,"LGBT,droits des enfants,homosexualité,racisme",Moira Walley-Beckett,Canada,2017 - 2019
Workin' Moms,"LGBT,allaitement,baby blues,congé maternité,grossesse,parentalité,sexualité.s",Catherine Reitman,Canada,2017-2022
Las Chicas del Cable,"LGBTQIA+,droits des femmes,homosexualité,sororité,transidentité","Ramon Campos,Gema R. Neira",Espagne,2017-2020
"Sense 8","LGBT,LGBTQIA+,intersectionnalité,queer",Wachowski,Etats-Unis,2015-2018
Transparent,"genre,identité de genre,transidentité",Joey Soloway,Etats-Unis,2014-2019
Sharp Objects,"automutilation,corps,réappropriation du corps,santé mentale",Marti Noxon,Etats-Unis,2018
Le jeu de la dame - The Queen's Gambit,empowerment,"Scott Frank,Allan Scott",Etats-Unis,2020
